NAME,CPU %,MEM USAGE / LIMIT
searcher-full_reactapp_1,0.00%,6.977MiB / 3.841GiB
searcher-full_fastapi_1,5.08%,165.9MiB / 3.841GiB
searcher-full_cppgraph_1,0.00%,105.1MiB / 3.841GiB
searcher-full_es01_1,2.17%,1.041GiB / 1.093GiB
