NAME,CPU %,MEM USAGE / LIMIT
searcher-full_reactapp_1,0.00%,6.969MiB / 3.841GiB
searcher-full_fastapi_1,4.50%,165.3MiB / 3.841GiB
searcher-full_cppgraph_1,0.00%,105.1MiB / 3.841GiB
searcher-full_es01_1,1.16%,1.041GiB / 1.093GiB
