word,frequency
inaceptable,3
vivido,16
proceso,382
enfrentar,12
dolores,23
ha,693
despuntado,1
11,491
miramos,1
ojos,173
futuro,18
puede,169
esperar,15
generosidad,1
mayor,336
acoger,7
integrar,2
nuestra,46
social,121
aquellos,70
descalificación,2
deseamos,2
prolongar,3
páginas,9
darán,2
cabal,12
procuramos,1
resumir,2
nombre,62
todos,405
miembros,166
trabajado,3
prestado,5
generosamente,1
concurso,8
cumplir,30
este,1164
cometido,58
agradecemos,2
corazón,7
esfuerzo,24
compartido,1
sea,74
aporte,5
nunca,143
deseado,2
anhelado,1
apretón,1
manos,172
chile,430
quisiera,5
saldar,2
hermandad,1
tanta,5
deuda,8
pendiente,6
pueblo,36
14,153
origen,28
dio,79
conocer,83
gubernamental,3
denomi,1
nada,69
ésta,101
contenía,6
serie,17
seguir,27
avanzando,2
delicado,6
sanar,3
heridas,203
producidas,8
graves,137
ocurridas,31
septiembre,1315
1973,1903
marzo,85
1990,108
tales,154
encontraba,184
creación,26
establezca,3
rigurosa,4
lista,29
hayan,55
frido,4
privación,84
libertad,400
razones,105
políticas,132
medida,69
concretó,1
noviembre,169
fecha,415
publicó,20
diario,111
oficial,314
decreto,267
supremo,62
interior,249
n,918
1040,20
creaba,1
co,20
misión,28
esclarecimiento,9
acerca,121
situaciones,109
referidas,21
párrafo,8
precedente,10
dicho,141
establecía,4
plazo,54
seis,71
contar,26
fecha1,1
comi,15
sión,26
debía,63
determinar,46
quiénes,23
fueron,1996
sufrieron,144
comprendido,9
proponer,11
referido,26
señalaban,7
cualquier,114
intento,68
solución,5
problema,27
mirada,4
global,21
esenciales,19
humana,18
dichas,44
muchas,123
esas,83
reconocidas,27
carácter,121
represión,93
recibido,40
esclarezca,1
completamente,19
reconozca,2
repa,1
re,32
injusto,2
mal,36
causado,23
podrá,25
forma,270
efectiva,21
camino,67
reencuentro2,1
1,261
ampliables,1
tres,297
elaboración,11
correspondiente,40
luego,534
mediante,130
ds,13
889,1
2004,25
ampliado,3
301104,1
2,301
crea,9
16,164
mandato,57
está,111
expresado,13
él,188
señala,183
objeto,142
exclusivo,4
acuerdo,308
antecedentes,551
presen,6
ten,6
torturas,504
actos,96
servicio,263
art,23
inc,8
establece,25
deberá,13
condiciones,268
características,83
formas,64
