word,frequency
inaceptable,3
vivido,13
proceso,350
enfrentar,9
dolores,22
ha,660
despuntado,1
11,427
miramos,1
ojos,159
futuro,16
puede,160
esperar,13
generosidad,1
mayor,301
acoger,6
integrar,2
nuestra,33
social,110
aquellos,65
descalificación,2
deseamos,2
prolongar,3
páginas,8
darán,1
cabal,12
procuramos,1
resumir,2
nombre,45
todos,366
miembros,147
trabajado,2
prestado,5
generosamente,1
concurso,5
cumplir,27
este,1051
cometido,49
agradecemos,2
corazón,6
esfuerzo,23
compartido,1
sea,71
aporte,4
nunca,119
deseado,2
anhelado,1
apretón,1
manos,159
chile,379
quisiera,2
saldar,1
hermandad,1
tanta,4
deuda,2
pendiente,3
pueblo,24
14,145
origen,25
dio,63
conocer,71
gubernamental,3
denomi,1
nada,59
ésta,100
contenía,6
serie,14
seguir,17
avanzando,2
delicado,5
sanar,3
heridas,198
producidas,8
graves,125
ocurridas,31
septiembre,1205
1973,1716
marzo,75
1990,75
tales,151
encontraba,170
creación,24
establezca,3
rigurosa,4
lista,23
hayan,55
frido,4
privación,80
libertad,356
razones,104
políticas,122
medida,66
concretó,1
noviembre,153
fecha,370
publicó,18
diario,105
oficial,314
decreto,260
supremo,61
interior,235
n,841
1040,20
creaba,1
co,20
misión,22
esclarecimiento,9
acerca,117
situaciones,107
referidas,21
párrafo,8
precedente,10
dicho,135
establecía,4
plazo,51
seis,53
contar,21
fecha1,1
comi,15
sión,26
debía,59
determinar,40
quiénes,23
fueron,1874
sufrieron,144
comprendido,9
proponer,11
referido,25
señalaban,6
cualquier,111
intento,66
solución,5
problema,26
mirada,3
global,21
esenciales,19
humana,18
dichas,44
muchas,114
esas,76
reconocidas,27
carácter,117
represión,86
recibido,34
esclarezca,1
completamente,16
reconozca,2
repa,1
re,31
injusto,1
mal,35
causado,22
podrá,23
forma,255
efectiva,18
camino,58
reencuentro2,1
1,235
ampliables,1
tres,252
elaboración,11
correspondiente,37
luego,479
mediante,127
ds,13
889,1
2004,22
ampliado,3
301104,1
2,281
crea,9
16,154
mandato,57
está,85
expresado,12
él,133
señala,181
objeto,131
exclusivo,3
acuerdo,296
antecedentes,517
presen,6
ten,6
torturas,487
actos,90
servicio,243
art,21
inc,8
establece,25
deberá,11
condiciones,251
