NAME,CPU %,MEM USAGE / LIMIT
searcher-full_reactapp_1,0.00%,6.977MiB / 3.841GiB
searcher-full_fastapi_1,3.34%,165.7MiB / 3.841GiB
searcher-full_cppgraph_1,0.00%,105.1MiB / 3.841GiB
searcher-full_es01_1,3.09%,1.042GiB / 1.093GiB
