NAME,CPU %,MEM USAGE / LIMIT
searcher-full_reactapp_1,0.16%,6.961MiB / 3.841GiB
searcher-full_fastapi_1,4.66%,166.6MiB / 3.841GiB
searcher-full_cppgraph_1,0.00%,105.1MiB / 3.841GiB
searcher-full_es01_1,1.26%,1.042GiB / 1.093GiB
