NAME,CPU %,MEM USAGE / LIMIT
searcher-full_reactapp_1,0.00%,6.961MiB / 3.841GiB
searcher-full_fastapi_1,1.82%,169.6MiB / 3.841GiB
searcher-full_cppgraph_1,101.09%,105.1MiB / 3.841GiB
searcher-full_es01_1,0.71%,1.042GiB / 1.093GiB
